연도,지사,동물종류,건수
2007,중부내륙선,너구리,19
2011,경부선,멧돼지,12
2011,중부내륙지선,고라니,4
2011,광주대구선,고라니,17
2011,당진대전선,고라니,80
2011,무안광주선,너구리,7
2011,서해안선,너구리,19
2011,제2중부선,고라니,48
2010,서해안선,멧토끼,6
2010,광주대구선,고라니,17
2010,통영대전선,멧토끼,4
2009,영동선,고라니,184
2009,제2중부선,너구리,4
2006,남해선(순천부산),멧토끼,8
2006,중부내륙지선,고라니,13
2006,논산천안선,호남선,너구리,133
2006,대전남부순환선,고라니,15
2008,통영대전선,고라니,305
2008,익산장수선,멧토끼,17
2009,중앙선,멧토끼,15
2009,논산천안선,호남선,멧토끼,4
2008,익산장수선,너구리,12
2005,통영대전선,고라니,287
2004,중앙선,너구리,212
2004,중앙선,멧토끼,154
2004,영동선,고라니,156
2005,광주대구선,고라니,60
2004,동해선,고라니,52
2005,중부내륙선,멧토끼,11
2005,대구포항선,너구리,42
2005,대구포항선,삵,2
2005,논산천안선,호남선,오소리,18
2005,영동선,멧토끼,32
2004,평택제천선,너구리,7
2004,영동선,삵,1
2005,울산선,노루,1
2012,중앙선,고라니,444
2013,청주상주선,고라니,76
2011,순천완주선,고라니,47
2012,서울양양,고라니,19
2013,당진대전선,멧토끼,1
2013,서해안선,고라니,83
2011,평택제천선,너구리,4
2012,부산포항선,너구리,3
2013,대구포항선,고라니,20
2013,순천완주선,너구리,8
2013,경부선,삵,1
2013,통영대전선,멧돼지,11
2013,경부선,멧돼지,2
2012,중앙선,너구리,36
2012,남해선(순천부산),너구리,4
2007,울산선,고라니,15
2013,남해제1지선,고라니,5
2012,서울양양,너구리,3
2013,무안광주선,고라니,4
2013,중앙선,멧토끼,3
2014,서해안선,고라니,84
2013,제2중부선,고라니,18
2014,중앙선,오소리,6
2015,청주상주선,고라니,233
2015,당진대전선,너구리,5
2014,광주대구선,고라니,11
2014,중앙선,삵,3
2017,통영대전선,고라니,72
2017,대구포항선,고라니,46
2017,호남선의지선,고라니,25
2017,경부선,고라니,34
2017,대구포항선,멧돼지,2
